,Headline,Publish Date & Time,Description
0,More than 100 state legislators to join Texas Democrats in Washington for voting rights pressure campaign,"Mon, 02 Aug 2021 12:48:11 GMT","As the Texas legislature enters the final week of its special session, state Democrats are bringing in reinforcements from around the country to Washington, DC, in a final push to pressure federal lawmakers to pass voting rights legislation.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=mlx38Eg341U:WWtoCTQg5pQ:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=mlx38Eg341U:WWtoCTQg5pQ:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=mlx38Eg341U:WWtoCTQg5pQ:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=mlx38Eg341U:WWtoCTQg5pQ:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=mlx38Eg341U:WWtoCTQg5pQ:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=mlx38Eg341U:WWtoCTQg5pQ:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=mlx38Eg341U:WWtoCTQg5pQ:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_allpolitics/~4/mlx38Eg341U"" height=""1"" width=""1"" alt=""""/>"
1,Biden administration expands access to refugee program for Afghans who worked with US,"Mon, 02 Aug 2021 15:14:07 GMT","The State Department announced Monday that it will expand access to the US refugee program for certain Afghans amid fears of reprisal by the Taliban as the US military withdrawal nears completion.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=k3PuE8Ki_EU:E87zQfnbfYo:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=k3PuE8Ki_EU:E87zQfnbfYo:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=k3PuE8Ki_EU:E87zQfnbfYo:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=k3PuE8Ki_EU:E87zQfnbfYo:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=k3PuE8Ki_EU:E87zQfnbfYo:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=k3PuE8Ki_EU:E87zQfnbfYo:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=k3PuE8Ki_EU:E87zQfnbfYo:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_allpolitics/~4/k3PuE8Ki_EU"" height=""1"" width=""1"" alt=""""/>"
2,Democrats increase pressure on party leadership to act on eviction moratorium as White House shifts focus to federal aid,"Mon, 02 Aug 2021 01:52:40 GMT","Congressional Democrats are increasing pressure on their party's leadership to act on the now-expired federal eviction moratorium as the White House shifts its focus to unspent housing assistance hours after the order ended and left millions of renters in limbo.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=t5gIxeZyvHs:NRudKDN_qLQ:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=t5gIxeZyvHs:NRudKDN_qLQ:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=t5gIxeZyvHs:NRudKDN_qLQ:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=t5gIxeZyvHs:NRudKDN_qLQ:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=t5gIxeZyvHs:NRudKDN_qLQ:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=t5gIxeZyvHs:NRudKDN_qLQ:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=t5gIxeZyvHs:NRudKDN_qLQ:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_allpolitics/~4/t5gIxeZyvHs"" height=""1"" width=""1"" alt=""""/>"
3,Analysis: Biden's Buy American push is good politics but bad economics ,"Sun, 01 Aug 2021 13:41:44 GMT","With votes in the Senate to advance his bipartisan compromise last week, President Joe Biden took a big step toward upgrading America's infrastructure.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=cP4E24MMUko:9ZLr0033tq4:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=cP4E24MMUko:9ZLr0033tq4:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=cP4E24MMUko:9ZLr0033tq4:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=cP4E24MMUko:9ZLr0033tq4:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=cP4E24MMUko:9ZLr0033tq4:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=cP4E24MMUko:9ZLr0033tq4:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=cP4E24MMUko:9ZLr0033tq4:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_allpolitics/~4/cP4E24MMUko"" height=""1"" width=""1"" alt=""""/>"
4,White House once again makes Covid-19 the focus of Biden's schedule,"Mon, 02 Aug 2021 14:10:15 GMT","The White House is making a concerted effort to return the focus of President Joe Biden's schedule to Covid-19 this week as the year-and-a-half-long pandemic again consumes his agenda amid a new spike in cases.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=3avBHG0W9pc:QVxibGzBmO4:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=3avBHG0W9pc:QVxibGzBmO4:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=3avBHG0W9pc:QVxibGzBmO4:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=3avBHG0W9pc:QVxibGzBmO4:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=3avBHG0W9pc:QVxibGzBmO4:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=3avBHG0W9pc:QVxibGzBmO4:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=3avBHG0W9pc:QVxibGzBmO4:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_allpolitics/~4/3avBHG0W9pc"" height=""1"" width=""1"" alt=""""/>"
5,Trump's $100 million threat to democracy,"Mon, 02 Aug 2021 05:18:25 GMT","Donald Trump now has a $100 million weapon to wield against US democracy.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=uLsWjPK5RgA:JxgU9QLKl5A:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=uLsWjPK5RgA:JxgU9QLKl5A:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=uLsWjPK5RgA:JxgU9QLKl5A:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=uLsWjPK5RgA:JxgU9QLKl5A:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=uLsWjPK5RgA:JxgU9QLKl5A:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=uLsWjPK5RgA:JxgU9QLKl5A:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=uLsWjPK5RgA:JxgU9QLKl5A:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_allpolitics/~4/uLsWjPK5RgA"" height=""1"" width=""1"" alt=""""/>"
6,Schumer announces bipartisan group has finalized legislative text on infrastructure bill,"Mon, 02 Aug 2021 14:29:20 GMT","Senate Majority Leader Chuck Schumer announced on the Senate floor Sunday evening that the bipartisan group of senators has finalized legislative text of the infrastructure bill, after hours of last-minute additions and edits to the more than 2,000-page legislation.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=CUQ8Jj8OJlE:YrDu5UbY1E8:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=CUQ8Jj8OJlE:YrDu5UbY1E8:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=CUQ8Jj8OJlE:YrDu5UbY1E8:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=CUQ8Jj8OJlE:YrDu5UbY1E8:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=CUQ8Jj8OJlE:YrDu5UbY1E8:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=CUQ8Jj8OJlE:YrDu5UbY1E8:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=CUQ8Jj8OJlE:YrDu5UbY1E8:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_allpolitics/~4/CUQ8Jj8OJlE"" height=""1"" width=""1"" alt=""""/>"
7,"Obama to host Covid-compliant 60th birthday party amid rising virus concerns, source says","Mon, 02 Aug 2021 15:46:45 GMT","Former President Barack Obama will celebrate his 60th birthday this weekend with a party in Martha's Vineyard, with many Covid-19 safety protocols in place amid heightened concerns over the Delta variant, a source familiar with the planning told CNN.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=EP_YwuXt7EQ:JZHTyAcRWDI:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=EP_YwuXt7EQ:JZHTyAcRWDI:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=EP_YwuXt7EQ:JZHTyAcRWDI:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=EP_YwuXt7EQ:JZHTyAcRWDI:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=EP_YwuXt7EQ:JZHTyAcRWDI:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=EP_YwuXt7EQ:JZHTyAcRWDI:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=EP_YwuXt7EQ:JZHTyAcRWDI:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_allpolitics/~4/EP_YwuXt7EQ"" height=""1"" width=""1"" alt=""""/>"
8,First on CNN: Government watchdog launches review into troubled Fort Bliss facility for migrant children,"Mon, 02 Aug 2021 15:00:29 GMT","The Department of Health and Human Services' inspector general announced a review into the Fort Bliss facility for unaccompanied migrant children Monday amid whistleblower complaints of poor conditions at the site.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=AWR5QBwZBDw:mOHwFtSxQl0:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=AWR5QBwZBDw:mOHwFtSxQl0:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=AWR5QBwZBDw:mOHwFtSxQl0:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=AWR5QBwZBDw:mOHwFtSxQl0:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=AWR5QBwZBDw:mOHwFtSxQl0:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=AWR5QBwZBDw:mOHwFtSxQl0:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=AWR5QBwZBDw:mOHwFtSxQl0:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_allpolitics/~4/AWR5QBwZBDw"" height=""1"" width=""1"" alt=""""/>"
9,"Federal employees and the public remain concerned over reports of political interference in science, review finds","Mon, 02 Aug 2021 14:15:18 GMT","Federal employees and some members of the public remain concerned over reports of political interference in science, specifically when it came to reporting scientific findings, a Biden administration review of the topic concluded.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=-uYl-eHs3YQ:Q9-fkqhS7bY:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=-uYl-eHs3YQ:Q9-fkqhS7bY:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=-uYl-eHs3YQ:Q9-fkqhS7bY:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=-uYl-eHs3YQ:Q9-fkqhS7bY:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=-uYl-eHs3YQ:Q9-fkqhS7bY:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=-uYl-eHs3YQ:Q9-fkqhS7bY:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=-uYl-eHs3YQ:Q9-fkqhS7bY:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_allpolitics/~4/-uYl-eHs3YQ"" height=""1"" width=""1"" alt=""""/>"
