,Headline,Publish Date,Description
0,CDC document warns Delta variant appears to spread as easily as chickenpox and cause more severe infection,"Fri, 30 Jul 2021 07:49:25 GMT",Philippine President Rodrigo Duterte issued a stark warning to those refusing Covid-19 vaccines during an address to the nation. 
1,Philippine president's shocking warning to vaccine deniers   ,"Thu, 29 Jul 2021 16:20:08 GMT","Among the recriminations and accusations, there was one point of consensus when American and Chinese diplomats met in the coastal city of Tianjin earlier this week: no one wants to see the world's most important relationship deteriorate into armed conflict."
2,"The US and China say they want to avoid military conflict, but no one can agree on how","Fri, 30 Jul 2021 06:23:21 GMT","The South China Sea has been a hotbed of naval activity this week as a British aircraft carrier strike group, an American surface action group, and forces from China's People's Liberation Army have all staged exercises in the contested waterway."
3,UK's HMS Queen Elizabeth aircraft carrier pictured in South China Sea,"Fri, 30 Jul 2021 07:07:59 GMT",The Philippines is restoring a military agreement with the United States that makes it easier for US forces to move in and out the country and signals to China a renewed commitment to the 70-year-old US-Philippine alliance.
4,Philippines renews key military agreement with the United States,"Fri, 30 Jul 2021 07:23:06 GMT","President Joe Biden has launched a new, more aggressive campaign to vaccinate Americans against Covid-19, headlined by a new requirement that all employees of the federal government -- the country's largest workforce -- either get the shot or face the prospect of an onerous mitigation regimen."
5,Biden opens up new front in Covid-19 vaccination war as concerns over variant deepen ,"Fri, 30 Jul 2021 04:45:28 GMT","The US Navy has charged a sailor in connection with the 2020 fire that destroyed the USS Bonhomme Richard amphibious warship while it was in port in San Diego, a Navy spokesperson said Thursday. "
6,Navy charges sailor in fire that destroyed billion-dollar warship,"Fri, 30 Jul 2021 06:06:19 GMT","Rwandan Justice Minister Johnston Busingye speaks to CNN's Eleni Giokos about the arrest and trial of Paul Rusesabagina, who is the inspiration for the movie ""Hotel Rwanda."""
7,'It doesn't look like there's a fair trial': CNN anchor presses official,"Fri, 30 Jul 2021 00:43:41 GMT","Mike Lindell's pillows have been propping up Fox News for years. But now the relationship is on ""pause."""
8,Fox says MyPillow CEO has decided to 'pause' his pillow ads amid election crusade,"Fri, 30 Jul 2021 04:15:56 GMT","In a series of Instagram stories, Simone Biles shared videos -- which since have been deleted -- of herself struggling with her dismounts on the uneven bars and answering questions about having the twisties, a mental block in gymnastics where competitors lose track of their positioning midair."
9,Simone Biles says she still has the 'twisties' and it's impacting her on the 4 individual events,"Fri, 30 Jul 2021 05:59:15 GMT","Former Olympic champion Connor Fields ""is awake and awaiting further medical evaluation"" after crashing in the BMX Racing event at Tokyo 2020, said USA Cycling BMX, citing the team doctor."
10,Japanese gold medalists face Chinese nationalist wrath,"Fri, 30 Jul 2021 08:10:40 GMT",Sunisa's Lee's family and friends gathered in her Minnesota hometown to cheer her on as she competed in the women's all-around gymnastics competition.
